Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,FR,-2.0,-1.0,23.0,12.0,-2.0,-1.0
2020-02-15,FR_ARA,5.0,6.0,53.0,34.0,2.0,-1.0
2020-02-15,FR_BFC,5.0,2.0,44.0,53.0,4.0,0.0
2020-02-15,FR_BRE,-6.0,-1.0,-5.0,6.0,-3.0,1.0
2020-02-15,FR_COR,2.0,-1.0,16.0,25.0,1.0,-1.0
2020-02-15,FR_CVL,0.0,-2.0,18.0,37.0,-2.0,-1.0
2020-02-15,FR_GES,2.0,0.0,43.0,25.0,-2.0,-1.0
2020-02-15,FR_HDF,-3.0,-2.0,4.0,7.0,-2.0,0.0
2020-02-15,FR_IDF,-12.0,-10.0,5.0,4.0,-8.0,-1.0
2020-02-15,FR_NAQ,5.0,3.0,38.0,17.0,1.0,-1.0
2020-02-15,FR_NOR,0.0,0.0,11.0,22.0,-3.0,0.0
2020-02-15,FR_OCC,-4.0,-4.0,32.0,19.0,-5.0,-2.0
2020-02-15,FR_PAC,1.0,3.0,37.0,18.0,0.0,-1.0
2020-02-15,FR_PDL,-4.0,-2.0,5.0,11.0,-3.0,0.0
2020-02-15,GA,0.0,-4.0,-1.0,0.0,4.0,1.0
2020-02-15,GB,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
2020-02-15,GE,4.0,8.0,2.0,4.0,4.0,0.0
2020-02-15,GH,0.0,-2.0,0.0,-3.0,2.0,0.0
2020-02-15,GR,-2.0,0.0,-12.0,-3.0,1.0,1.0
2020-02-15,GT,5.0,1.0,3.0,4.0,2.0,-2.0
2020-02-15,GW,-1.0,,,,4.0,
2020-02-15,HK,-26.0,-4.0,-26.0,-34.0,-18.0,14.0
2020-02-15,HN,2.0,4.0,-1.0,1.0,2.0,0.0
2020-02-15,HR,10.0,2.0,29.0,5.0,1.0,-2.0
2020-02-15,HT,-3.0,1.0,-6.0,-5.0,2.0,1.0
2020-02-15,HU,14.0,6.0,46.0,16.0,4.0,-2.0
2020-02-15,ID,-2.0,-2.0,-8.0,1.0,5.0,1.0
2020-02-15,ID_AC,-1.0,-2.0,-7.0,-3.0,3.0,2.0
2020-02-15,ID_BA,5.0,6.0,-7.0,0.0,3.0,0.0
2020-02-15,ID_BB,-3.0,-3.0,-2.0,-7.0,6.0,1.0
2020-02-15,ID_BE,-2.0,-2.0,-10.0,-2.0,4.0,1.0
2020-02-15,ID_BT,0.0,0.0,8.0,1.0,7.0,0.0
2020-02-15,ID_GO,-4.0,0.0,24.0,,8.0,1.0
2020-02-15,ID_JA,2.0,-1.0,9.0,-3.0,4.0,0.0
2020-02-15,ID_JB,-6.0,-5.0,-11.0,3.0,5.0,1.0
2020-02-15,ID_JI,-2.0,-1.0,-11.0,-2.0,4.0,1.0
2020-02-15,ID_JK,2.0,3.0,16.0,5.0,6.0,0.0
2020-02-15,ID_JT,-5.0,-6.0,-16.0,-1.0,3.0,2.0
2020-02-15,ID_KB,-1.0,-2.0,-4.0,-12.0,4.0,1.0
2020-02-15,ID_KI,-2.0,0.0,-5.0,2.0,14.0,-1.0
2020-02-15,ID_KR,-1.0,2.0,4.0,-4.0,5.0,1.0
2020-02-15,ID_KS,-2.0,-3.0,-7.0,-6.0,7.0,2.0
2020-02-15,ID_KT,-2.0,-1.0,2.0,1.0,3.0,1.0
2020-02-15,ID_KU,-12.0,-13.0,-26.0,-12.0,6.0,3.0
2020-02-15,ID_LA,-1.0,0.0,-11.0,0.0,5.0,1.0
2020-02-15,ID_MA,2.0,1.0,-11.0,3.0,5.0,0.0
2020-02-15,ID_MU,-8.0,-4.0,-8.0,-11.0,4.0,1.0
2020-02-15,ID_NB,3.0,2.0,22.0,5.0,1.0,0.0
2020-02-15,ID_NT,5.0,2.0,8.0,10.0,9.0,-1.0
2020-02-15,ID_PA,5.0,2.0,2.0,10.0,9.0,-1.0
2020-02-15,ID_PB,3.0,2.0,6.0,2.0,12.0,1.0
2020-02-15,ID_RI,-1.0,-2.0,-2.0,-2.0,3.0,1.0
2020-02-15,ID_SA,6.0,3.0,-6.0,6.0,7.0,0.0
2020-02-15,ID_SB,-1.0,-2.0,-11.0,-3.0,3.0,1.0
2020-02-15,ID_SN,1.0,0.0,2.0,4.0,8.0,-1.0
2020-02-15,ID_SR,-7.0,-4.0,-8.0,-10.0,19.0,1.0
2020-02-15,ID_SS,-3.0,-2.0,-4.0,2.0,4.0,1.0
2020-02-15,ID_ST,0.0,-3.0,0.0,7.0,10.0,1.0
2020-02-15,ID_SU,-6.0,-7.0,-13.0,-5.0,0.0,2.0
2020-02-15,IE,-11.0,-6.0,-36.0,-12.0,-4.0,3.0
2020-02-15,IL,13.0,9.0,64.0,14.0,1.0,-3.0
2020-02-15,IN,1.0,2.0,3.0,3.0,5.0,0.0
2020-02-15,IN_AN,1.0,-9.0,5.0,-2.0,6.0,2.0
